# CONCEPTICON
# Created by: QLC Research Group (M. Cysouw, V. Kirchhoff, S. Nicolai, N.  Müller, J.-M. List [rearrange and modify this order, I put me as last person, since I didn't do quite much, not to indicate that I'm some kind of a leader in this project])
# Created on: 2014-05-06 13:04
# Contact: <whatemailtousehere?>
OMEGA_WIKI	GLOSS	WOLD	POS
6099	ladder	7.37	Noun
6851	bed	7.42	Noun
447708	pillow	7.421	Noun
348520	blanket	7.422	Noun
6162	chair	7.43	Noun
7196	table	7.44	Noun
2062	lamp	7.45	Noun
844734	torch	7.45	Noun
5592	candle	7.46	Noun
340859	shelf	7.47	Noun
1412223	trough	7.48	Noun
344031	roof	7.51	Noun
1506073	thatch	7.52	Noun
1506083	ridgepole	7.53	Noun
355194	rafter	7.54	Noun
498099	beam	7.55	Noun
1506091	post	7.56	Noun
1506095	pole	7.56	Noun
5479	board	7.57	Noun
372196	arch	7.58	Noun
372205	mason	7.61	Noun
432	brick	7.62	Noun
703845	mortar	7.63	Noun
383952	adobe	7.64	Noun
480116	camp	7.65	Noun
987151	hammock	7.66	Noun
1501856	tan	7.67	Verb
7489	bench	7.99901	Noun
1510592	griddle	7.99903	Noun
421045	guestroom	7.99904	Noun
1510596	mosquito net	7.99905	Noun
1510600	roof tile	7.99906	Noun
421671	farmer	8.11	Noun
1425	field	8.12	Noun
1506100	paddy	8.121	Noun
1601	garden	8.13	Noun
638225	cultivate	8.15	Verb
698534	fence	8.16	Noun
960	ditch	8.17	Noun
845139	plough	8.21	Verb
845139	plow	8.21	Verb
7346	furrow	8.212	Noun
6024	dig	8.22	Verb
525509	spade	8.23	Noun
8359	shovel	8.24	Noun
1506109	hoe	8.25	Noun
1510832	pitchfork	8.26	Noun
1510832	pitchfork	8.26	Noun
1510836	rake	8.27	Noun
1510840	digging stick	8.28	Noun
1510846	lasso	8.29	Noun
341201	sow	8.31	Verb
3361	seed	8.311	Noun
1403529	mow	8.32	Verb
1510850	sickle	8.33	Noun
1050369	scythe	8.33	Noun
1506115	thresh	8.34	Verb
1451560	threshing-floor	8.35	Noun
1722	harvest	8.41	Noun
1674	grain	8.42	Noun
466721	wheat	8.43	Noun
398106	barley	8.44	Noun
1054188	rye	8.45	Noun
1111216	oats	8.46	Noun
157264	maize	8.47	Noun
157264	corn	8.47	Noun
395506	rice	8.48	Noun
1675	grass	8.51	Noun
1510854	hay	8.52	Noun
2836	plant	8.53	Noun
