ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
910	god	-	-	-	-	God <22.12>	-	-	-	-	-	-	-	-	-
911	laugh	-	-	-	-	laugh <16.25>	-	-	-	-	-	-	-	-	-
912	intestine	intestines <16>	-	-	-	-	-	-	-	-	-	-	-	-	-
913	line	-	-	-	-	line <12.84>	-	-	-	-	-	-	-	-	-
914	danger	-	-	-	-	danger <16.54>	-	-	-	-	-	-	-	-	-
915	ant	-	-	-	-	-	-	-	-	-	199 <71>	-	-	-	-
916	clothes	-	-	-	-	clothing, clothes <6.12>	-	-	-	-	-	-	-	-	-
917	put on (V)	-	-	-	-	put on (clothes) <6.11>	-	-	-	-	-	-	-	-	-
918	cheap	-	-	-	-	cheap <11.89>	-	-	-	-	-	-	-	-	-
919	sink (V)	-	-	-	-	sink <10.33>	-	-	-	-	-	-	-	-	-
920	learn (V)	-	-	-	-	learn <17.24>	-	-	-	-	-	-	-	-	-
921	press (V)	-	-	-	-	press <9.342>	-	-	-	-	-	-	-	-	-
922	father-in-law	-	-	-	-	father-in-law (of a man) <2.61>	-	-	-	-	-	-	-	-	-
923	miss (V)	-	-	-	-	miss (target) <20.63>	-	-	-	-	-	-	-	-	-
924	rake	-	-	-	-	rake <8.27>	-	-	-	-	-	-	-	-	-
925	sickness	-	sickness <144>	-	-	-	-	-	-	-	-	-	-	-	-
926	cap	-	-	-	-	hat, cap <6.55>	-	-	-	-	-	-	-	-	-
927	fish poison	-	-	-	-	fish poison (root) <8.96>	-	-	-	-	-	-	-	-	-
928	beverage	-	-	-	-	beverage, drink <5.9>	-	-	-	-	-	-	-	-	-
929	release (V)	-	-	-	-	release, let go <11.34>	-	-	-	-	-	-	-	-	-
930	fold	-	-	-	-	fold <9.15>	-	-	-	-	-	-	-	-	-
931	pocket	-	-	-	-	pocket <6.61>	-	-	-	-	-	-	-	-	-
932	bring (V)	-	-	-	-	bring <10.62>	-	-	-	-	-	-	-	-	-
933	deer	-	-	-	-	deer <3.75>	-	-	-	-	-	-	-	-	-
934	stump	-	-	-	-	tree stump <8.72>	-	-	-	-	-	-	-	-	-
935	veil (V)	-	-	-	-	veil <6.59>	-	-	-	-	-	-	-	-	-
936	ask (V)	-	-	-	-	ask, request <18.35>	-	-	-	-	-	-	-	-	-
937	chisel	-	-	-	-	chisel <9.84>	-	-	-	-	-	-	-	-	-
938	fat (thick)	-	-	-	-	-	-	-	-	-	-	fat <155>	-	-	-
939	adze	-	-	-	-	adze <9.251>	-	-	-	-	-	-	-	-	-
940	skin/hide	-	-	-	-	-	-	-	-	-	5585 <68>	-	-	-	-
941	only	-	-	-	-	alone, only <13.33>	-	-	-	-	-	-	-	-	-
942	cover	-	-	-	-	cover <12.26>	-	-	-	-	-	-	-	-	-
943	nape of neck	-	-	-	-	nape of neck <4.281>	-	-	-	-	-	-	-	-	-
944	noise	-	-	-	-	sound, noise <15.44>	-	-	-	-	-	-	-	-	-
945	lazy	-	-	-	-	lazy <4.92>	-	-	-	-	-	-	-	-	-
946	wrap (V)	-	-	-	-	wind, wrap <10.14>	-	-	-	-	-	-	-	-	-
947	crooked	-	-	-	-	crooked <12.74>	-	-	-	-	-	-	-	-	-
948	stone	-	-	-	-	stone, rock <1.44>	-	-	-	-	-	-	-	-	-
949	anvil	-	-	-	-	anvil <9.62>	-	-	-	-	-	-	-	-	-
950	boomerang	-	boomerang <123>	-	-	-	-	-	-	-	-	-	-	-	-
951	fragrant	-	-	-	-	fragrant, good smelling <15.25>	-	-	-	-	-	-	-	-	-
952	cord	-	-	-	-	rope, cord <9.19>	-	-	-	-	-	-	-	-	-
953	hard	-	-	-	-	-	-	-	-	-	2875 <99>	-	-	-	-
954	announce (V)	-	-	-	-	announce <18.43>	-	-	-	-	-	-	-	-	-
955	arrow	-	-	-	-	-	-	-	-	-	-	arrow <103>	-	-	-
956	sick	painful, sick <160>	-	-	-	-	-	-	-	-	-	-	-	-	-
957	naked	-	-	-	-	naked, bare <4.99>	-	-	-	-	-	-	-	-	-
