ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
1014	girl	-	-	-	-	girl <2.26>	-	-	-	-	-	-	-	-	-
1015	write (V)	-	-	-	-	write <18.51>	-	-	-	-	-	-	-	-	-
1016	bear	-	-	-	-	bear <3.73>	-	-	-	-	-	-	-	-	-
1017	obtain (V)	-	-	-	-	get, obtain <11.16>	-	-	-	-	-	-	-	-	-
1018	belt	-	-	-	-	belt, girdle <6.57>	-	-	-	-	-	-	-	-	-
1019	piss (V)	-	-	-	-	-	-	-	-	-	-	piss <34>	-	-	-
1020	family	-	-	-	-	family <2.82>	-	-	-	-	-	-	-	-	-
1021	otter	-	-	-	-	-	-	-	-	-	-	otter <65>	-	-	-
1022	soiled	-	-	-	-	dirty, soiled <15.88>	-	-	-	-	-	-	-	-	-
1023	court	-	-	-	-	yard, court <7.15>	-	-	-	-	-	-	-	-	-
1024	blow	-	-	-	-	blow <10.38>	-	-	-	-	-	-	-	-	-
1025	yesterday	-	-	-	-	-	-	-	-	-	7026 <41>	-	-	-	-
1026	yawn (V)	to yawn <47>	-	-	-	-	-	-	-	-	-	-	-	-	-
1027	turtle	-	-	-	-	turtle <3.98>	-	-	-	-	-	-	-	-	-
1028	autumn	-	-	-	-	autumn <14.77>	-	-	-	-	-	-	-	-	-
1029	wheel	-	-	-	-	wheel <10.76>	-	-	-	-	-	-	-	-	-
1030	dough	-	-	-	-	dough <5.53>	-	-	-	-	-	-	-	-	-
1031	it	-	-	-	-	he/she/it <2.93>	-	-	-	-	-	-	-	-	-
1032	meet (V)	-	-	-	-	meet <19.65>	-	-	-	-	-	-	-	-	-
1033	split	-	-	-	-	split <9.27>	-	-	-	-	-	-	-	-	-
1034	seize (V)	-	-	-	-	seize, grasp <11.14>	-	-	-	-	-	-	-	-	-
1035	unite (V)	-	-	-	-	join, unite <12.22>	-	-	-	-	-	-	-	-	-
1036	yoke	-	-	-	-	yoke <10.78>	-	-	-	-	-	-	-	-	-
1037	shit (V)	-	-	-	-	-	-	-	-	-	-	shit <33>	-	-	-
1038	cultivate (V)	-	-	-	-	cultivate, till <8.15>	-	-	-	-	-	-	-	-	-
1039	grief	-	-	-	-	grief, sorrow, sadness <16.32>	-	-	-	-	-	-	-	-	-
1040	make (V)	-	-	-	-	do, make <9.11>	-	-	-	-	-	-	-	-	-
1041	teat	-	-	-	-	nipple, teat <4.412>	-	-	-	-	-	-	-	-	-
1042	hawk	-	-	-	-	hawk <3.585>	-	-	-	-	-	-	-	-	-
1043	uncover (V)	to open, uncover <92>	-	-	-	-	-	-	-	-	-	-	-	-	-
1044	slide (V)	-	-	-	-	slide, slip <10.42>	-	-	-	-	-	-	-	-	-
1045	oil	-	-	-	-	oil <5.79>	-	-	-	-	-	-	-	-	-
1046	to drink	-	-	-	-	-	-	-	-	-	1834 <42>	-	-	-	-
1047	yamstick	-	yamstick <146>	-	-	-	-	-	-	-	-	-	-	-	-
1048	spear	-	spear (N) <77>	-	-	-	-	-	-	-	-	-	-	-	-
1049	drip (V)	-	-	-	-	drip <10.24>	-	-	-	-	-	-	-	-	-
1050	arrive (V)	-	-	-	-	reach, arrive <10.55>	-	-	-	-	-	-	-	-	-
1051	hack (V)	to cut, hack <78>	-	-	-	-	-	-	-	-	-	-	-	-	-
1052	astonish	-	-	-	-	surprised, astonished <16.15>	-	-	-	-	-	-	-	-	-
1053	tree	-	-	-	-	-	-	-	6487 <89>	-	-	-	-	-	-
1054	well 1	-	-	-	-	well, health <4.83>	-	-	-	-	-	-	-	-	-
1055	nipple	-	-	-	-	nipple, teat <4.412>	-	-	-	-	-	-	-	-	-
1056	candle	-	-	-	-	candle <7.46>	-	-	-	-	-	-	-	-	-
1057	sure	-	-	-	-	sure, certain <17.37>	-	-	-	-	-	-	-	-	-
1058	greedy	-	-	-	-	greedy <16.83>	-	-	-	-	-	-	-	-	-
1059	sneeze (V)	-	-	-	-	sneeze <4.54>	-	-	-	-	-	-	-	-	-
1060	post	-	-	-	-	post, pole <7.56>	-	-	-	-	-	-	-	-	-
1061	mule	-	-	-	-	mule <3.47>	-	-	-	-	-	-	-	-	-
1062	what	-	-	-	-	-	-	-	6853 <93>	-	-	-	-	-	-
1063	old woman	-	-	-	-	old woman <2.471>	-	-	-	-	-	-	-	-	-
1064	rye	-	-	-	-	rye <8.45>	-	-	-	-	-	-	-	-	-
1065	shiver (V)	-	-	-	-	shiver <4.68>	-	-	-	-	-	-	-	-	-
1066	infant	-	-	-	-	infant, baby <2.28>	-	-	-	-	-	-	-	-	-
1067	stepmother	-	-	-	-	stepmother <2.72>	-	-	-	-	-	-	-	-	-
1068	above	above <175>	-	-	-	-	-	-	-	-	-	-	-	-	-
1069	food	-	-	-	-	food <5.12>	-	-	-	-	-	-	-	-	-
1070	noon	-	-	-	-	noon, midday <14.45>	-	-	-	-	-	-	-	-	-
1071	hour	-	-	-	-	hour <14.51>	-	-	-	-	-	-	-	-	-
1072	hope	-	-	-	-	hope <16.63>	-	-	-	-	-	-	-	-	-
1073	pan	-	-	-	-	pan <5.28>	-	-	-	-	-	-	-	-	-
1074	dive (V)	-	-	-	-	dive <10.351>	-	-	-	-	-	-	-	-	-
1075	pandanus	-	pandanus <150>	-	-	-	-	-	-	-	-	-	-	-	-
1076	wind (V)	-	-	-	-	wind, wrap <10.14>	-	-	-	-	-	-	-	-	-
1077	work	-	-	-	-	work <9.12>	-	-	-	-	-	-	-	-	-
1078	thing	-	-	-	-	thing <11.18>	-	-	-	-	-	-	-	-	-
1079	owl	-	-	-	-	owl <3.596>	-	-	-	-	-	-	-	-	-
1080	roast (V)	-	-	-	-	roast, fry <5.23>	-	-	-	-	-	-	-	-	-
1081	tobacco	-	-	-	-	tobacco <8.68>	-	-	-	-	-	-	-	-	-
1082	upper arm	-	upper arm <102>	-	-	-	-	-	-	-	-	-	-	-	-
1083	dew	-	-	-	-	dew <1.64>	-	-	-	-	-	-	-	-	-
1084	request (V)	-	-	-	-	ask, request <18.35>	-	-	-	-	-	-	-	-	-
1085	measure	-	-	-	-	measure <12.54>	-	-	-	-	-	-	-	-	-
1086	to cry/weep	-	-	-	-	-	-	-	-	-	6835 <87>	-	-	-	-
1087	firewood	-	-	-	-	firewood <1.88>	-	-	-	-	-	-	-	-	-
1088	pair	-	-	-	-	pair <13.37>	-	-	-	-	-	-	-	-	-
1089	rudder	-	-	-	-	rudder <10.86>	-	-	-	-	-	-	-	-	-
1090	storm	-	-	-	-	storm <1.58>	-	-	-	-	-	-	-	-	-
1091	reap (V)	-	-	-	-	mow, reap <8.32>	-	-	-	-	-	-	-	-	-
1092	girdle	-	-	-	-	belt, girdle <6.57>	-	-	-	-	-	-	-	-	-
1093	thorn	-	-	-	-	-	-	-	-	-	-	thorn(prick) <99>	-	-	-
1094	bear	-	-	-	-	-	-	-	-	-	-	bear <68>	-	-	-
1095	yes	-	-	-	-	yes, affirmative <17.55>	-	-	-	-	-	-	-	-	-
1096	enter (V)	-	-	-	-	enter <10.57>	-	-	-	-	-	-	-	-	-
1097	to come	-	-	-	-	-	-	-	-	-	1136 <11>	-	-	-	-
1098	rice (cooked)	-	-	-	-	-	-	-	-	-	-	plaintain/banana <51>	-	-	-
1099	wheat	-	-	-	-	wheat <8.43>	-	-	-	-	-	-	-	-	-
1100	mould (V)	-	-	-	-	mold (clay etc) <9.72>	-	-	-	-	-	-	-	-	-
1101	stallion	-	-	-	-	stallion <3.42>	-	-	-	-	-	-	-	-	-
1102	wipe (V)	-	-	-	-	rub, wipe <9.31>	-	-	-	-	-	-	-	-	-
1103	scream (V)	-	-	-	-	shriek, screech <18.18>	-	-	-	-	-	-	-	-	-
1104	urinate (V)	-	-	-	-	urinate <4.65>	-	-	-	-	-	-	-	-	-
1105	plate	-	-	-	-	plate <5.32>	-	-	-	-	-	-	-	-	-
1106	try (V)	-	-	-	-	try, attempt <17.48>	-	-	-	-	-	-	-	-	-
1107	ash	-	-	-	-	-	-	-	-	-	260 <84>	-	-	-	-
1108	saliva	-	spit (N) <78>	-	-	-	-	-	-	-	-	-	-	-	-
1109	bug	-	-	-	-	-	-	-	-	-	-	insect, bug, vermin <59>	-	-	-
1110	glass	-	-	-	-	glass <9.74>	-	-	-	-	-	-	-	-	-
1111	kiss	-	-	-	-	kiss <16.29>	-	-	-	-	-	-	-	-	-
1112	after	-	-	-	-	after <12.1>	-	-	-	-	-	-	-	-	-
1113	to go	-	-	-	-	-	-	-	-	-	2688 <3>	-	-	-	-
1114	much	-	-	-	-	much, many <13.15>	-	-	-	-	-	-	-	-	-
1115	tongs	-	-	-	-	tongs <5.391>	-	-	-	-	-	-	-	-	-
1116	porpoise	-	-	-	-	porpoise, dolphin <3.662>	-	-	-	-	-	-	-	-	-
1117	thresh (V)	-	-	-	-	thresh <8.34>	-	-	-	-	-	-	-	-	-
1118	prick	-	-	-	-	-	-	-	-	-	-	thorn(prick) <99>	-	-	-
1119	sibling	-	-	-	-	sibling <2.456>	-	-	-	-	-	-	-	-	-
1120	kidney	-	-	-	-	kidney <4.451>	-	-	-	-	-	-	-	-	-
1121	permit (V)	-	-	-	-	let, permit <19.47>	-	-	-	-	-	-	-	-	-
1122	right side	-	-	-	-	right (side) <12.41>	-	-	-	-	-	-	-	-	-
1123	notion	-	-	-	-	idea, notion <17.19>	-	-	-	-	-	-	-	-	-
1124	cock 1	-	-	-	-	cock, rooster <3.52>	-	-	-	-	-	-	-	-	-
1125	sickle	-	-	-	-	sickle, scythe <8.33>	-	-	-	-	-	-	-	-	-
1126	mucus	-	-	-	-	mucus (nasal) <4.232>	-	-	-	-	-	-	-	-	-
1127	approach (V)	-	-	-	-	approach <10.56>	-	-	-	-	-	-	-	-	-
1128	full	-	-	-	-	-	-	-	2561 <27>	-	-	-	-	-	-
1129	ass	-	-	-	-	ass, donkey <3.46>	-	-	-	-	-	-	-	-	-
1130	last	-	-	-	-	last <13.35>	-	-	-	-	-	-	-	-	-
1131	lie 2 (V)	-	-	-	-	lie, tell lies <16.67>	-	-	-	-	-	-	-	-	-
1132	wine	-	-	-	-	wine <5.92>	-	-	-	-	-	-	-	-	-
1133	fur	-	-	-	-	fur <6.28>	-	-	-	-	-	-	-	-	-
1134	quick	-	-	-	-	swift, fast, quick <14.21>	-	-	-	-	-	-	-	-	-
1135	plough (V)	-	-	-	-	plow <8.21>	-	-	-	-	-	-	-	-	-
1136	fan	-	-	-	-	fan (noun) <9.79>	-	-	-	-	-	-	-	-	-
1137	inside	in, inside <174>	-	-	-	-	-	-	-	-	-	-	-	-	-
1138	glue	-	-	-	-	glue <9.56>	-	-	-	-	-	-	-	-	-
1139	land	-	-	-	-	earth, land <1.21>	-	-	-	-	-	-	-	-	-
1140	apologize (V)	-	-	-	-	forgive <16.69>	-	-	-	-	-	-	-	-	-
1141	powerful	-	-	-	-	strong, mighty, powerful <4.81>	-	-	-	-	-	-	-	-	-
1142	rabbit	-	-	-	-	rabbit <3.614>	-	-	-	-	-	-	-	-	-
1143	make (V)	-	-	-	-	shoemaker, cobbler <6.54>	-	-	-	-	-	-	-	-	-
1144	sow	-	-	-	-	sow <8.31>	-	-	-	-	-	-	-	-	-
1145	father's brother	-	-	-	-	father's brother <2.512>	-	-	-	-	-	-	-	-	-
1146	defecate (V)	-	-	-	-	defecate <4.66>	-	-	-	-	-	-	-	-	-
1147	statue	-	-	-	-	statue <9.83>	-	-	-	-	-	-	-	-	-
1148	field	-	-	-	-	field (for cultivation) <8.12>	-	-	-	-	-	-	-	-	-
1149	waterfall	-	-	-	-	waterfall <1.39>	-	-	-	-	-	-	-	-	-
1150	eel	-	-	-	-	freshwater eel <3.665>	-	-	-	-	-	-	-	-	-
1151	delay (V)	-	-	-	-	retard, delay <14.24>	-	-	-	-	-	-	-	-	-
1152	in	-	-	-	-	-	-	-	-	-	3184 <98>	-	-	-	-
1153	beggar	-	-	-	-	beggar <11.53>	-	-	-	-	-	-	-	-	-
1154	acorn	-	-	-	-	acorn <8.66>	-	-	-	-	-	-	-	-	-
1155	comb	-	-	-	-	comb <6.91>	-	-	-	-	-	-	-	-	-
1156	outside	-	-	-	-	outside <12.6>	-	-	-	-	-	-	-	-	-
1157	ocean	-	-	-	-	ocean <1.329>	-	-	-	-	-	-	-	-	-
1158	murder (V)	-	-	-	-	murder <21.42>	-	-	-	-	-	-	-	-	-
1159	salty	-	-	-	-	salty <15.36>	-	-	-	-	-	-	-	-	-
1160	rafter	-	-	-	-	rafter <7.54>	-	-	-	-	-	-	-	-	-
1161	preach (V)	-	-	-	-	preach <22.22>	-	-	-	-	-	-	-	-	-
1162	crow	-	-	-	-	crow <3.593>	-	-	-	-	-	-	-	-	-
1163	place (V)	-	-	-	-	-	-	-	-	-	-	put, place <199>	-	-	-
1164	shell	-	-	-	-	shell <3.655>	-	-	-	-	-	-	-	-	-
1165	corpse	-	-	-	-	corpse <4.77>	-	-	-	-	-	-	-	-	-
1166	loosen (V)	-	-	-	-	-	-	-	-	-	-	let go; set free; loosen <187>	-	-	-
1167	brick	-	-	-	-	adobe <7.64>	-	-	-	-	-	-	-	-	-
1168	string	-	string <147>	-	-	-	-	-	-	-	-	-	-	-	-
1169	poor	-	-	-	-	poor <11.52>	-	-	-	-	-	-	-	-	-
1170	wave	-	-	-	-	wave <1.35>	-	-	-	-	-	-	-	-	-
1171	healthy	-	-	-	-	well, health <4.83>	-	-	-	-	-	-	-	-	-
1172	cheese	-	-	-	-	cheese <5.88>	-	-	-	-	-	-	-	-	-
1173	look (V)	-	-	-	-	look, look at <15.52>	-	-	-	-	-	-	-	-	-
1174	lead	-	-	-	-	lead (noun) <9.68>	-	-	-	-	-	-	-	-	-
1175	desire	-	-	-	-	desire, want <16.62>	-	-	-	-	-	-	-	-	-
1176	broom	-	-	-	-	broom <9.38>	-	-	-	-	-	-	-	-	-
1177	potato	-	-	-	-	potato <5.7>	-	-	-	-	-	-	-	-	-
1178	large	-	-	-	-	large, big <12.55>	-	-	-	-	-	-	-	-	-
1179	obscure	-	-	-	-	obscure <17.35>	-	-	-	-	-	-	-	-	-
1180	thirst	-	-	-	-	thirst <5.15>	-	-	-	-	-	-	-	-	-
1181	eyebrow	-	-	-	-	eyebrow <4.212>	-	-	-	-	-	-	-	-	-
1182	hen	-	-	-	-	hen <3.54>	-	-	-	-	-	-	-	-	-
1183	go up (V)	-	-	-	-	go up <10.471>	-	-	-	-	-	-	-	-	-
1184	high	-	-	-	-	high <12.31>	-	-	-	-	-	-	-	-	-
1185	corner	-	-	-	-	corner <12.76>	-	-	-	-	-	-	-	-	-
1186	cheat (V)	-	-	-	-	betray <17.441>	-	-	-	-	-	-	-	-	-
1187	boil	-	-	-	-	boil (noun) <4.856>	-	-	-	-	-	-	-	-	-
1188	charcoal	-	-	-	-	charcoal <1.89>	-	-	-	-	-	-	-	-	-
1189	eyelash	-	-	-	-	eyelash <4.214>	-	-	-	-	-	-	-	-	-
1190	elephant	-	-	-	-	elephant <3.77>	-	-	-	-	-	-	-	-	-
1191	sock	-	-	-	-	stocking, sock <6.49>	-	-	-	-	-	-	-	-	-
1192	butterfly	-	-	-	-	butterfly <3.92>	-	-	-	-	-	-	-	-	-
1193	raft	-	-	-	-	raft <10.84>	-	-	-	-	-	-	-	-	-
1194	preserve (V)	-	-	-	-	preserve, look after <11.24>	-	-	-	-	-	-	-	-	-
1195	dawn	-	-	-	-	dawn <14.43>	-	-	-	-	-	-	-	-	-
1196	remember (V)	-	-	-	-	remember <17.31>	-	-	-	-	-	-	-	-	-
1197	colt	-	-	-	-	foal, colt <3.45>	-	-	-	-	-	-	-	-	-
1198	set free (V)	-	-	-	-	-	-	-	-	-	-	let go; set free; loosen <187>	-	-	-
1199	pea	-	-	-	-	-	-	-	-	-	-	peas, beans <47>	-	-	-
1200	we two (inclusive)	-	we two inclusive <119>	-	-	-	-	-	-	-	-	-	-	-	-
1201	stepfather	-	-	-	-	stepfather <2.71>	-	-	-	-	-	-	-	-	-
1202	howl (V)	-	-	-	-	howl <18.19>	-	-	-	-	-	-	-	-	-
1203	hand	-	-	-	-	-	-	-	2855 <32>	-	-	-	-	-	-
1204	gape (V)	-	-	-	-	yawn, gape <4.52>	-	-	-	-	-	-	-	-	-
1205	pepper	-	-	-	-	pepper <5.82>	-	-	-	-	-	-	-	-	-
1206	grandmother	-	-	-	-	grandmother <2.47>	-	-	-	-	-	-	-	-	-
1207	lizard	-	-	-	-	lizard <3.96>	-	-	-	-	-	-	-	-	-
1208	ankle	-	-	-	-	ankle <4.371>	-	-	-	-	-	-	-	-	-
1209	hate	-	-	-	-	hate <16.41>	-	-	-	-	-	-	-	-	-
1210	nape	-	nape <57>	-	-	-	-	-	-	-	-	-	-	-	-
1211	mother's sister	-	-	-	-	mother's sister <2.521>	-	-	-	-	-	-	-	-	-
1212	sore	-	-	-	-	wound, sore <4.85>	-	-	-	-	-	-	-	-	-
1213	cat	-	-	-	-	cat <3.62>	-	-	-	-	-	-	-	-	-
1214	she	he/she <184>	-	-	-	-	-	-	-	-	-	-	-	-	-
1215	mother's brother	-	-	-	-	mother's brother <2.511>	-	-	-	-	-	-	-	-	-
1216	broad	-	-	-	-	wide, broad <12.61>	-	-	-	-	-	-	-	-	-
1217	kindle (V)	-	-	-	-	light, kindle, ignite <1.86>	-	-	-	-	-	-	-	-	-
1218	error	-	-	-	-	mistake, error <16.77>	-	-	-	-	-	-	-	-	-
1219	smell	-	-	-	-	fragrant, good smelling <15.25>	-	-	-	-	-	-	-	-	-
1220	liquor	-	-	-	-	-	-	-	-	-	-	liquor <50>	-	-	-
1221	crop 1	-	-	-	-	goiter <4.842>	-	-	-	-	-	-	-	-	-
1222	embers	-	-	-	-	embers <1.841>	-	-	-	-	-	-	-	-	-
1223	camel	-	-	-	-	camel <3.78>	-	-	-	-	-	-	-	-	-
1224	inside	-	-	-	-	inside, in <12.5>	-	-	-	-	-	-	-	-	-
1225	fir	-	-	-	-	fir <8.65>	-	-	-	-	-	-	-	-	-
1226	bitter	-	-	-	-	-	-	-	-	-	540 <28>	-	-	-	-
1227	shelf	-	-	-	-	shelf <7.47>	-	-	-	-	-	-	-	-	-
1228	intestine	-	-	-	-	intestines, guts <4.461>	-	-	-	-	-	-	-	-	-
1229	harvest	-	-	-	-	crop, harvest <8.41>	-	-	-	-	-	-	-	-	-
1230	thread	-	-	-	-	thread <6.38>	-	-	-	-	-	-	-	-	-
1231	3SG pronoun	-	-	-	-	-	-	-	-	-	3308 <35>	-	-	-	-
1232	to take	-	-	-	-	-	-	-	-	-	6184 <73>	-	-	-	-
1233	pubic hair	-	-	-	-	pubic hair <4.145>	-	-	-	-	-	-	-	-	-
1234	bunch	-	-	-	-	bunch <5.712>	-	-	-	-	-	-	-	-	-
1235	axle	-	-	-	-	axle <10.77>	-	-	-	-	-	-	-	-	-
1236	luck	-	-	-	-	misfortune, bad luck <16.19>	-	-	-	-	-	-	-	-	-
1237	go away (V)	-	-	-	-	go away, depart <10.49>	-	-	-	-	-	-	-	-	-
1238	pipe	-	-	-	-	pipe <8.691>	-	-	-	-	-	-	-	-	-
1239	strong	-	-	-	-	strong, mighty, powerful <4.81>	-	-	-	-	-	-	-	-	-
1240	descend (V)	-	-	-	-	-	-	-	-	-	-	descend <139>	-	-	-
1241	join (V)	-	-	-	-	join, unite <12.22>	-	-	-	-	-	-	-	-	-
1242	shoe	-	-	-	-	shoe <6.51>	-	-	-	-	-	-	-	-	-
1243	spin (V)	-	-	-	-	spin <6.31>	-	-	-	-	-	-	-	-	-
1244	eagle	-	-	-	-	eagle <3.584>	-	-	-	-	-	-	-	-	-
1245	be knowledgeable	to know, be knowledgeable <20>	-	-	-	-	-	-	-	-	-	-	-	-	-
1246	hot	-	-	-	-	hot <15.85>	-	-	-	-	-	-	-	-	-
1247	similar	-	-	-	-	like, similar <12.92>	-	-	-	-	-	-	-	-	-
1248	forbid (V)	-	-	-	-	forbid <18.38>	-	-	-	-	-	-	-	-	-
1249	to run	-	-	-	-	-	-	-	-	-	5198 <81>	-	-	-	-
1250	tool	-	-	-	-	tool <9.422>	-	-	-	-	-	-	-	-	-
1251	left	-	-	-	-	left (side) <12.42>	-	-	-	-	-	-	-	-	-
1252	bow	-	-	-	-	-	-	-	-	-	-	bow <106>	-	-	-
1253	stop (V)	-	-	-	-	cease, stop <14.28>	-	-	-	-	-	-	-	-	-
1254	goanna	-	goanna <149>	-	-	-	-	-	-	-	-	-	-	-	-
1255	hunger	-	-	-	-	hunger <5.14>	-	-	-	-	-	-	-	-	-
1256	to crush/grind	-	-	-	-	-	-	-	-	-	1413 <100>	-	-	-	-
1257	bathe (V)	-	-	-	-	bathe <4.69>	-	-	-	-	-	-	-	-	-
1258	fish scale	-	-	-	-	fishscale <3.653>	-	-	-	-	-	-	-	-	-
1259	cotton	-	-	-	-	cotton <6.24>	-	-	-	-	-	-	-	-	-
1260	drug	-	-	-	-	medicine, drug <4.88>	-	-	-	-	-	-	-	-	-
1261	cheek	-	-	-	-	cheek <4.208>	-	-	-	-	-	-	-	-	-
1262	descendant	-	-	-	-	descendants <2.57>	-	-	-	-	-	-	-	-	-
1263	oar	-	-	-	-	oar <10.85>	-	-	-	-	-	-	-	-	-
1264	gold	-	-	-	-	gold <9.64>	-	-	-	-	-	-	-	-	-
1265	sheep	-	-	-	-	sheep <3.25>	-	-	-	-	-	-	-	-	-
1266	trough	-	-	-	-	trough <7.48>	-	-	-	-	-	-	-	-	-
1267	swear (V)	-	-	-	-	swear <21.24>	-	-	-	-	-	-	-	-	-
1268	fear	-	-	-	-	fear, fright <16.53>	-	-	-	-	-	-	-	-	-
1269	change (V)	-	-	-	-	change <12.93>	-	-	-	-	-	-	-	-	-
1270	damage (V)	-	-	-	-	harm, injure, damage <11.28>	-	-	-	-	-	-	-	-	-
1271	two	-	-	-	-	-	-	-	6577 <90>	-	-	-	-	-	-
1272	spread out (V)	-	-	-	-	spread out <9.34>	-	-	-	-	-	-	-	-	-
1273	palm of hand	-	-	-	-	palm of hand <4.331>	-	-	-	-	-	-	-	-	-
1274	ship	-	-	-	-	ship <10.81>	-	-	-	-	-	-	-	-	-
1275	floor	-	-	-	-	floor <7.26>	-	-	-	-	-	-	-	-	-
1276	fasten (V)	to tie up, fasten <66>	-	-	-	-	-	-	-	-	-	-	-	-	-
1277	believe (V)	-	-	-	-	believe <17.15>	-	-	-	-	-	-	-	-	-
1278	to eat	-	-	-	-	-	-	-	-	-	1915 <75>	-	-	-	-
1279	coconut	-	-	-	-	coconut <8.82>	-	-	-	-	-	-	-	-	-
1280	match	-	-	-	-	match (noun) <1.87>	-	-	-	-	-	-	-	-	-
1281	wide	-	-	-	-	wide, broad <12.61>	-	-	-	-	-	-	-	-	-
1282	pursue (V)	-	-	-	-	pursue <10.53>	-	-	-	-	-	-	-	-	-
1283	hinder (V)	-	-	-	-	hinder, prevent <19.59>	-	-	-	-	-	-	-	-	-
1284	all	-	-	-	-	every, all <13.14>	-	-	-	-	-	-	-	-	-
1285	nettle	-	-	-	-	nettle <8.97>	-	-	-	-	-	-	-	-	-
1286	hammer	-	-	-	-	hammer <9.49>	-	-	-	-	-	-	-	-	-
1287	borrow	-	-	-	-	borrow <11.62>	-	-	-	-	-	-	-	-	-
1288	share (V)	-	-	-	-	share (distribute) <11.91>	-	-	-	-	-	-	-	-	-
1289	turn around (V)	-	-	-	-	turn around <10.13>	-	-	-	-	-	-	-	-	-
1290	cast (V)	-	-	-	-	cast (metals) <9.63>	-	-	-	-	-	-	-	-	-
1291	find (V)	-	-	-	-	find <11.32>	-	-	-	-	-	-	-	-	-
1292	air	-	-	-	-	air <1.71>	-	-	-	-	-	-	-	-	-
1293	wood	-	-	-	-	-	-	-	-	-	6970 <80>	-	-	-	-
1294	hoe	-	-	-	-	hoe <8.25>	-	-	-	-	-	-	-	-	-
1295	account	-	-	-	-	account, reckoning <11.66>	-	-	-	-	-	-	-	-	-
1296	pot	-	-	-	-	pot, cooking vessel <5.26>	-	-	-	-	-	-	-	-	-
1297	kettle	-	-	-	-	kettle <5.27>	-	-	-	-	-	-	-	-	-
1298	dandruff	-	-	-	-	dandruff <4.146>	-	-	-	-	-	-	-	-	-
1299	tent	-	-	-	-	tent <7.14>	-	-	-	-	-	-	-	-	-
1300	lose (V)	-	-	-	-	lose <11.33>	-	-	-	-	-	-	-	-	-
1301	back	-	-	-	-	-	-	-	-	-	326 <47>	-	-	-	-
1302	intoxicated	-	-	-	-	intoxicated <4.98>	-	-	-	-	-	-	-	-	-
1303	break (V)	-	-	-	-	break <9.26>	-	-	-	-	-	-	-	-	-
1304	grandchild	-	-	-	-	-	-	-	-	-	-	grandchild (nephew) <44>	-	-	-
1305	crazy	-	-	-	-	insane, crazy <17.23>	-	-	-	-	-	-	-	-	-
1306	threshing-floor	-	-	-	-	threshing-floor <8.35>	-	-	-	-	-	-	-	-	-
1307	tired	-	-	-	-	tired, weary <4.91>	-	-	-	-	-	-	-	-	-
1308	rise (V)	-	-	-	-	rise <10.21>	-	-	-	-	-	-	-	-	-
1309	clever	-	-	-	-	clever <16.84>	-	-	-	-	-	-	-	-	-
1310	cure (V)	-	-	-	-	cure, heal <4.86>	-	-	-	-	-	-	-	-	-
1311	relative	-	-	-	-	relatives, kinsmen <2.81>	-	-	-	-	-	-	-	-	-
1312	mead	-	-	-	-	mead <5.91>	-	-	-	-	-	-	-	-	-
1313	again	-	-	-	-	again <14.35>	-	-	-	-	-	-	-	-	-
1314	obey (V)	-	-	-	-	obey <19.46>	-	-	-	-	-	-	-	-	-
1315	breakfast	-	-	-	-	breakfast <5.42>	-	-	-	-	-	-	-	-	-
1316	toe-nail	-	-	-	finger-nail/toe-nail <11>	-	-	-	-	-	-	-	-	-	-
1317	depart (V)	-	-	-	-	go away, depart <10.49>	-	-	-	-	-	-	-	-	-
1318	language	-	language <121>	-	-	-	-	-	-	-	-	-	-	-	-
1319	fin	-	-	-	-	fin (dorsal) <3.652>	-	-	-	-	-	-	-	-	-
1320	fault	-	-	-	-	fault <16.76>	-	-	-	-	-	-	-	-	-
1321	how much	-	-	-	-	how much? <17.63>	-	-	-	-	-	-	-	-	-
1322	flow	-	-	-	-	flow <10.32>	-	-	-	-	-	-	-	-	-
1323	copper	-	-	-	-	copper, bronze <9.66>	-	-	-	-	-	-	-	-	-
1324	leave it (V)	-	to leave it <48>	-	-	-	-	-	-	-	-	-	-	-	-
1325	know	-	-	-	-	-	-	-	3416 <41>	-	-	-	-	-	-
1326	pinch	-	-	-	-	pinch <15.712>	-	-	-	-	-	-	-	-	-
1327	late	-	-	-	-	late <14.17>	-	-	-	-	-	-	-	-	-
1328	gut	-	-	-	-	intestines, guts <4.461>	-	-	-	-	-	-	-	-	-
1329	half	-	-	-	-	half <13.24>	-	-	-	-	-	-	-	-	-
1330	temple 2	-	-	-	-	side of head, temple <4.201>	-	-	-	-	-	-	-	-	-
1331	paddle	-	-	-	-	paddle (noun) <10.851>	-	-	-	-	-	-	-	-	-
1332	rope	-	-	-	-	-	-	-	-	-	5155 <91>	-	-	-	-
1333	shake (V)	-	-	-	-	shake <10.26>	-	-	-	-	-	-	-	-	-
1334	arm/hand	-	-	-	-	-	-	-	-	-	2855 <19>	-	-	-	-
1335	leg/foot	-	-	-	-	-	-	-	-	-	3523 <37>	-	-	-	-
1336	flesh/meat	-	-	-	-	-	-	-	-	-	2397 <18>	-	-	-	-
1337	parrot	-	-	-	-	parrot <3.592>	-	-	-	-	-	-	-	-	-
1338	ornament	-	-	-	-	ornament, adornment <6.71>	-	-	-	-	-	-	-	-	-
1339	canoe	-	-	-	-	canoe <10.831>	-	-	-	-	-	-	-	-	-
